2025-06-17 17:11:57 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:02 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:02 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:03 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-17 17:12:04 Line: 11, : Request start: 127.0.0.1
2025-06-17 17:12:05 Line: 95, APISubiektGT\SubiektGT\product->getSymbolByCodeOrEan: Request finish: 127.0.0.1
