2025-06-06 20:42:40 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:46 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:46 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:50 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:50 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:50 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:50 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:51 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:51 Line: 95, APISubiektGT\SubiektGT\order->getNrByExternalId: Request finish: 127.0.0.1
2025-06-06 20:42:53 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:42:53 Line: 95, APISubiektGT\SubiektGT\product->getSymbolByCodeOrEan: Request finish: 127.0.0.1
2025-06-06 20:43:03 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:43:06 Line: 108, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 218/2025
2025-06-06 20:43:06 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-06 20:43:06 Line: 11, : Request start: 127.0.0.1
2025-06-06 20:43:07 Line: 108, APISubiektGT\SubiektGT\Order->getPdf: Wygenerowano pdf dokumentu: FS 218/2025
2025-06-06 20:43:07 Line: 95, APISubiektGT\SubiektGT\order->getpdf: Request finish: 127.0.0.1
2025-06-06 20:43:11 Line: 11, : Request start: 127.0.0.1
